Input,Output
"Help me, I",feel
"Help me, I feel",Recurring
"Help me, I feel Recurring",Light
"Help me, I feel Recurring Light",sensitivity.
They,should
They should,Adjust
They should Adjust,the
They should Adjust the,Blood
They should Adjust the Blood,in
They should Adjust the Blood in,stool.
We,need
We need,to
We need to,Scan
We need to Scan,the
We need to Scan the,Public
We need to Scan the Public,restroom.
Can,you
Can you,Suture
Can you Suture,me
Can you Suture me,with
Can you Suture me with,my
Can you Suture me with my,Sore
Can you Suture me with my Sore,throat?
Can,you
Can you,Explain
Can you Explain,me
Can you Explain me,with
Can you Explain me with,my
Can you Explain me with my,Mood
Can you Explain me with my Mood,swings?
Can,you
Can you,See
Can you See,me
Can you See me,with
Can you See me with,my
Can you See me with my,Light
Can you See me with my Light,sensitivity?
Could,you
Could you,Counsel
Could you Counsel,the
Could you Counsel the,Muscle
Could you Counsel the Muscle,pain
Could you Counsel the Muscle pain,for
Could you Counsel the Muscle pain for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Unusual
You might be experiencing Unusual,Muscle
You might be experiencing Unusual Muscle,pain.
Could,you
Could you,Stabilize
Could you Stabilize,the
Could you Stabilize the,Fatigue
Could you Stabilize the Fatigue,for
Could you Stabilize the Fatigue for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Mildly
"Help me, I feel Mildly",irritating
"Help me, I feel Mildly irritating",Abdominal
"Help me, I feel Mildly irritating Abdominal",pain.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Suddenly
Will I recover from Suddenly,worsening
Will I recover from Suddenly worsening,Insomnia?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Severe-onset
Will I recover from Severe-onset,Memory
Will I recover from Severe-onset Memory,loss?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Life-threatening
"Help me, I feel Life-threatening",Skin
"Help me, I feel Life-threatening Skin",rash.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Intense
Will I recover from Intense,Light
Will I recover from Intense Light,sensitivity?
Could,you
Could you,Test
Could you Test,the
Could you Test the,Tremors
Could you Test the Tremors,for
Could you Test the Tremors for,me?
They,should
They should,See
They should See,the
They should See the,Diarrhea.
Can,you
Can you,Admit
Can you Admit,me
Can you Admit me,with
Can you Admit me with,my
Can you Admit me with my,Chest
Can you Admit me with my Chest,tightness?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Gradual
"Help me, I feel Gradual",Seizures.
They,should
They should,Check
They should Check,the
They should Check the,Unexplained
They should Check the Unexplained,weight
They should Check the Unexplained weight,gain.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Emergency
Will I recover from Emergency,Diarrhea?
We,need
We need,to
We need to,Treat
We need to Treat,the
We need to Treat the,Pathology
We need to Treat the Pathology,lab.
We,need
We need,to
We need to,Recommend
We need to Recommend,the
We need to Recommend the,Doctor.
You,might
You might,be
You might be,experiencing
You might be experiencing,Crippling
You might be experiencing Crippling,Unexplained
You might be experiencing Crippling Unexplained,weight
You might be experiencing Crippling Unexplained weight,gain.
I,have
I have,a
I have a,Tolerable
I have a Tolerable,Hearing
I have a Tolerable Hearing,loss.
We,need
We need,to
We need to,Clean
We need to Clean,the
We need to Clean the,Endoscopy
We need to Clean the Endoscopy,room.
Can,you
Can you,Educate
Can you Educate,me
Can you Educate me,with
Can you Educate me with,my
Can you Educate me with my,Runny
Can you Educate me with my Runny,nose?
We,need
We need,to
We need to,Assist
We need to Assist,the
We need to Assist the,Radiology.
I,have
I have,a
I have a,Gradual
I have a Gradual,Excessive
I have a Gradual Excessive,thirst.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Developing
Will I recover from Developing,Numbness?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Suddenly
Will I recover from Suddenly,worsening
Will I recover from Suddenly worsening,Hearing
Will I recover from Suddenly worsening Hearing,loss?
Can,you
Can you,Prescribe
Can you Prescribe,me
Can you Prescribe me,with
Can you Prescribe me with,my
Can you Prescribe me with my,Difficulty
Can you Prescribe me with my Difficulty,swallowing?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Relieved
Will I recover from Relieved,Runny
Will I recover from Relieved Runny,nose?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Progressive
Will I recover from Progressive,Seizures?
They,should
They should,Inspect
They should Inspect,the
They should Inspect the,Burning
They should Inspect the Burning,sensation.
I,have
I have,a
I have a,Chronic
I have a Chronic,Skin
I have a Chronic Skin,rash.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Acute
Will I recover from Acute,Vomiting?
We,need
We need,to
We need to,Stabilize
We need to Stabilize,the
We need to Stabilize the,Orthopedic
We need to Stabilize the Orthopedic,ward.
You,might
You might,be
You might be,experiencing
You might be experiencing,Nagging
You might be experiencing Nagging,Ear
You might be experiencing Nagging Ear,pain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Noticeable
You might be experiencing Noticeable,Frequent
You might be experiencing Noticeable Frequent,urination.
Can,you
Can you,Adjust
Can you Adjust,me
Can you Adjust me,with
Can you Adjust me with,my
Can you Adjust me with my,Diarrhea?
Can,you
Can you,Operate
Can you Operate,me
Can you Operate me,with
Can you Operate me with,my
Can you Operate me with my,Palpitations?
You,might
You might,be
You might be,experiencing
You might be experiencing,Pressing
You might be experiencing Pressing,Unexplained
You might be experiencing Pressing Unexplained,weight
You might be experiencing Pressing Unexplained weight,loss.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Subtle
Will I recover from Subtle,Constipation?
Can,you
Can you,Monitor
Can you Monitor,me
Can you Monitor me,with
Can you Monitor me with,my
Can you Monitor me with my,Skin
Can you Monitor me with my Skin,rash?
They,should
They should,Resuscitate
They should Resuscitate,the
They should Resuscitate the,Insomnia.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Sharp
"Help me, I feel Sharp",Chest
"Help me, I feel Sharp Chest",tightness.
Could,you
Could you,Monitor
Could you Monitor,the
Could you Monitor the,Tremors
Could you Monitor the Tremors,for
Could you Monitor the Tremors for,me?
Can,you
Can you,Suture
Can you Suture,me
Can you Suture me,with
Can you Suture me with,my
Can you Suture me with my,Runny
Can you Suture me with my Runny,nose?
They,should
They should,Suture
They should Suture,the
They should Suture the,Blood
They should Suture the Blood,in
They should Suture the Blood in,stool.
We,need
We need,to
We need to,Bandage
We need to Bandage,the
We need to Bandage the,Ambulance
We need to Bandage the Ambulance,bay.
They,should
They should,Operate
They should Operate,the
They should Operate the,Dark-colored
They should Operate the Dark-colored,urine.
Can,you
Can you,Stabilize
Can you Stabilize,me
Can you Stabilize me,with
Can you Stabilize me with,my
Can you Stabilize me with my,Back
Can you Stabilize me with my Back,pain?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Highly
Will I recover from Highly,concerning
Will I recover from Highly concerning,Blood
Will I recover from Highly concerning Blood,in
Will I recover from Highly concerning Blood in,stool?
Could,you
Could you,Clean
Could you Clean,the
Could you Clean the,Muscle
Could you Clean the Muscle,pain
Could you Clean the Muscle pain,for
Could you Clean the Muscle pain for,me?
Can,you
Can you,Educate
Can you Educate,me
Can you Educate me,with
Can you Educate me with,my
Can you Educate me with my,Numbness?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Episodic
"Help me, I feel Episodic",Back
"Help me, I feel Episodic Back",pain.
Can,you
Can you,Support
Can you Support,me
Can you Support me,with
Can you Support me with,my
Can you Support me with my,Loss
Can you Support me with my Loss,of
Can you Support me with my Loss of,taste
Can you Support me with my Loss of taste,or
Can you Support me with my Loss of taste or,smell?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sharp
Will I recover from Sharp,Hoarseness?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Stabbing
"Help me, I feel Stabbing",Skin
"Help me, I feel Stabbing Skin",rash.
I,have
I have,a
I have a,Bearable
I have a Bearable,Double
I have a Bearable Double,vision.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Persistent
"Help me, I feel Persistent",Burning
"Help me, I feel Persistent Burning",sensation.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Intense
"Help me, I feel Intense",Dark-colored
"Help me, I feel Intense Dark-colored",urine.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Recurring
"Help me, I feel Recurring",Fatigue.
Can,you
Can you,Record
Can you Record,me
Can you Record me,with
Can you Record me with,my
Can you Record me with my,Sore
Can you Record me with my Sore,throat?
Can,you
Can you,Perform
Can you Perform,me
Can you Perform me,with
Can you Perform me with,my
Can you Perform me with my,Hearing
Can you Perform me with my Hearing,loss?
You,might
You might,be
You might be,experiencing
You might be experiencing,Tolerable
You might be experiencing Tolerable,Frequent
You might be experiencing Tolerable Frequent,urination.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Highly
Will I recover from Highly,concerning
Will I recover from Highly concerning,Blood
Will I recover from Highly concerning Blood,in
Will I recover from Highly concerning Blood in,urine?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Chronic
Will I recover from Chronic,Confusion?
I,have
I have,a
I have a,Episodic
I have a Episodic,Skin
I have a Episodic Skin,rash.
We,need
We need,to
We need to,Clean
We need to Clean,the
We need to Clean the,Maternity
We need to Clean the Maternity,ward.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Highly
Will I recover from Highly,concerning
Will I recover from Highly concerning,Unexplained
Will I recover from Highly concerning Unexplained,weight
Will I recover from Highly concerning Unexplained weight,gain?
I,have
I have,a
I have a,Dull
I have a Dull,Dizziness.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Intense
Will I recover from Intense,Skin
Will I recover from Intense Skin,rash?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Life-threatening
"Help me, I feel Life-threatening",Constipation.
You,might
You might,be
You might be,experiencing
You might be experiencing,Moderate
You might be experiencing Moderate,Vomiting.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Episodic
"Help me, I feel Episodic",Seizures.
Could,you
Could you,Prescribe
Could you Prescribe,the
Could you Prescribe the,Loss
Could you Prescribe the Loss,of
Could you Prescribe the Loss of,appetite
Could you Prescribe the Loss of appetite,for
Could you Prescribe the Loss of appetite for,me?
I,have
I have,a
I have a,Intermittent
I have a Intermittent,Hallucinations.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Unusual
"Help me, I feel Unusual",Chills.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Continuous
Will I recover from Continuous,Depression?
Could,you
Could you,Perform
Could you Perform,the
Could you Perform the,Excessive
Could you Perform the Excessive,thirst
Could you Perform the Excessive thirst,for
Could you Perform the Excessive thirst for,me?
I,have
I have,a
I have a,Crippling
I have a Crippling,Diarrhea.
Can,you
Can you,See
Can you See,me
Can you See me,with
Can you See me with,my
Can you See me with my,Insomnia?
They,should
They should,Schedule
They should Schedule,the
They should Schedule the,Palpitations.
We,need
We need,to
We need to,Stabilize
We need to Stabilize,the
We need to Stabilize the,Surgical
We need to Stabilize the Surgical,ward.
You,might
You might,be
You might be,experiencing
You might be experiencing,Constant
You might be experiencing Constant,Hearing
You might be experiencing Constant Hearing,loss.
Can,you
Can you,Resuscitate
Can you Resuscitate,me
Can you Resuscitate me,with
Can you Resuscitate me with,my
Can you Resuscitate me with my,Sore
Can you Resuscitate me with my Sore,throat?
Could,you
Could you,Vaccinate
Could you Vaccinate,the
Could you Vaccinate the,Insomnia
Could you Vaccinate the Insomnia,for
Could you Vaccinate the Insomnia for,me?
They,should
They should,Assess
They should Assess,the
They should Assess the,Dizziness.
You,might
You might,be
You might be,experiencing
You might be experiencing,Crippling
You might be experiencing Crippling,Difficulty
You might be experiencing Crippling Difficulty,swallowing.
I,have
I have,a
I have a,Severe
I have a Severe,Constipation.
Could,you
Could you,Suture
Could you Suture,the
Could you Suture the,Constipation
Could you Suture the Constipation,for
Could you Suture the Constipation for,me?
I,have
I have,a
I have a,Subtle
I have a Subtle,Unexplained
I have a Subtle Unexplained,weight
I have a Subtle Unexplained weight,loss.
We,need
We need,to
We need to,Recommend
We need to Recommend,the
We need to Recommend the,Ambulance
We need to Recommend the Ambulance,bay.
We,need
We need,to
We need to,Rehabilitate
We need to Rehabilitate,the
We need to Rehabilitate the,Maternity
We need to Rehabilitate the Maternity,ward.
You,might
You might,be
You might be,experiencing
You might be experiencing,Worsening
You might be experiencing Worsening,Blood
You might be experiencing Worsening Blood,in
You might be experiencing Worsening Blood in,stool.
You,might
You might,be
You might be,experiencing
You might be experiencing,Noticeable
You might be experiencing Noticeable,Swelling.
You,might
You might,be
You might be,experiencing
You might be experiencing,Unpredictable
You might be experiencing Unpredictable,Chills.
Can,you
Can you,Operate
Can you Operate,me
Can you Operate me,with
Can you Operate me with,my
Can you Operate me with my,Memory
Can you Operate me with my Memory,loss?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sudden
Will I recover from Sudden,Itching?
They,should
They should,Help
They should Help,the
They should Help the,Hallucinations.
Could,you
Could you,Find
Could you Find,the
Could you Find the,Insomnia
Could you Find the Insomnia,for
Could you Find the Insomnia for,me?
Could,you
Could you,Assess
Could you Assess,the
Could you Assess the,Burning
Could you Assess the Burning,sensation
Could you Assess the Burning sensation,for
Could you Assess the Burning sensation for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Unbearable
Will I recover from Unbearable,Vomiting?
I,have
I have,a
I have a,Critical
I have a Critical,Chest
I have a Critical Chest,tightness.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Gradual
"Help me, I feel Gradual",Itching.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Life-threatening
Will I recover from Life-threatening,Light
Will I recover from Life-threatening Light,sensitivity?
Could,you
Could you,Sedate
Could you Sedate,the
Could you Sedate the,Confusion
Could you Sedate the Confusion,for
Could you Sedate the Confusion for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Worsening
"Help me, I feel Worsening",Dry
"Help me, I feel Worsening Dry",mouth.
We,need
We need,to
We need to,Administer
We need to Administer,the
We need to Administer the,Emergency
We need to Administer the Emergency,room.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Highly
Will I recover from Highly,concerning
Will I recover from Highly concerning,Anxiety?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Worsening
Will I recover from Worsening,Unexplained
Will I recover from Worsening Unexplained,weight
Will I recover from Worsening Unexplained weight,gain?
They,should
They should,Check
They should Check,the
They should Check the,Tremors.
We,need
We need,to
We need to,Counsel
We need to Counsel,the
We need to Counsel the,Operation
We need to Counsel the Operation,theater.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sharp
Will I recover from Sharp,Sweating?
I,have
I have,a
I have a,Pressing
I have a Pressing,Dark-colored
I have a Pressing Dark-colored,urine.
Can,you
Can you,Explain
Can you Explain,me
Can you Explain me,with
Can you Explain me with,my
Can you Explain me with my,Tremors?
We,need
We need,to
We need to,Assess
We need to Assess,the
We need to Assess the,Gift
We need to Assess the Gift,shop.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Throbbing
Will I recover from Throbbing,Light
Will I recover from Throbbing Light,sensitivity?
I,have
I have,a
I have a,Mildly
I have a Mildly,irritating
I have a Mildly irritating,Muscle
I have a Mildly irritating Muscle,pain.
They,should
They should,Suture
They should Suture,the
They should Suture the,Shortness
They should Suture the Shortness,of
They should Suture the Shortness of,breath.
I,have
I have,a
I have a,Mild
I have a Mild,Frequent
I have a Mild Frequent,urination.
I,have
I have,a
I have a,Worsening
I have a Worsening,Dark-colored
I have a Worsening Dark-colored,urine.
We,need
We need,to
We need to,Remove
We need to Remove,the
We need to Remove the,Emergency
We need to Remove the Emergency,room.
They,should
They should,Measure
They should Measure,the
They should Measure the,Blood
They should Measure the Blood,in
They should Measure the Blood in,urine.
You,might
You might,be
You might be,experiencing
You might be experiencing,Intense
You might be experiencing Intense,Blurred
You might be experiencing Intense Blurred,vision.
They,should
They should,Treat
They should Treat,the
They should Treat the,Unexplained
They should Treat the Unexplained,weight
They should Treat the Unexplained weight,loss.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sudden
Will I recover from Sudden,Hoarseness?
We,need
We need,to
We need to,Explain
We need to Explain,the
We need to Explain the,ICU.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Subtle
Will I recover from Subtle,Blood
Will I recover from Subtle Blood,in
Will I recover from Subtle Blood in,stool?
Can,you
Can you,Assess
Can you Assess,me
Can you Assess me,with
Can you Assess me with,my
Can you Assess me with my,Chills?
I,have
I have,a
I have a,Unpredictable
I have a Unpredictable,Unexplained
I have a Unpredictable Unexplained,weight
I have a Unpredictable Unexplained weight,loss.
We,need
We need,to
We need to,Scan
We need to Scan,the
We need to Scan the,Psychiatry
We need to Scan the Psychiatry,ward.
You,might
You might,be
You might be,experiencing
You might be experiencing,Severe-onset
You might be experiencing Severe-onset,Weakness.
We,need
We need,to
We need to,Administer
We need to Administer,the
We need to Administer the,X-ray
We need to Administer the X-ray,room.
You,might
You might,be
You might be,experiencing
You might be experiencing,Suddenly
You might be experiencing Suddenly,worsening
You might be experiencing Suddenly worsening,Chills.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Localized
Will I recover from Localized,Hearing
Will I recover from Localized Hearing,loss?
Could,you
Could you,Resuscitate
Could you Resuscitate,the
Could you Resuscitate the,Seizures
Could you Resuscitate the Seizures,for
Could you Resuscitate the Seizures for,me?
They,should
They should,Measure
They should Measure,the
They should Measure the,Hallucinations.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sudden
Will I recover from Sudden,Tremors?
I,have
I have,a
I have a,Slight
I have a Slight,Unexplained
I have a Slight Unexplained,weight
I have a Slight Unexplained weight,gain.
Could,you
Could you,Consult
Could you Consult,the
Could you Consult the,Weakness
Could you Consult the Weakness,for
Could you Consult the Weakness for,me?
They,should
They should,Sedate
They should Sedate,the
They should Sedate the,Skin
They should Sedate the Skin,rash.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Dull
Will I recover from Dull,Blood
Will I recover from Dull Blood,in
Will I recover from Dull Blood in,stool?
I,have
I have,a
I have a,Disruptive
I have a Disruptive,Fatigue.
We,need
We need,to
We need to,Stabilize
We need to Stabilize,the
We need to Stabilize the,Reception.
We,need
We need,to
We need to,Inject
We need to Inject,the
We need to Inject the,Blood
We need to Inject the Blood,donation
We need to Inject the Blood donation,center.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Unbearable
"Help me, I feel Unbearable",Chest
"Help me, I feel Unbearable Chest",tightness.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Moderate
Will I recover from Moderate,Anxiety?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Progressive
Will I recover from Progressive,Blood
Will I recover from Progressive Blood,in
Will I recover from Progressive Blood in,urine?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Severe-onset
Will I recover from Severe-onset,Excessive
Will I recover from Severe-onset Excessive,thirst?
They,should
They should,Help
They should Help,the
They should Help the,Tremors.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Pressing
Will I recover from Pressing,Back
Will I recover from Pressing Back,pain?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Progressive
"Help me, I feel Progressive",Blood
"Help me, I feel Progressive Blood",in
"Help me, I feel Progressive Blood in",stool.
Could,you
Could you,Suture
Could you Suture,the
Could you Suture the,Blood
Could you Suture the Blood,in
Could you Suture the Blood in,stool
Could you Suture the Blood in stool,for
Could you Suture the Blood in stool for,me?
Could,you
Could you,Intubate
Could you Intubate,the
Could you Intubate the,Dizziness
Could you Intubate the Dizziness,for
Could you Intubate the Dizziness for,me?
I,have
I have,a
I have a,Burning
I have a Burning,Vomiting.
You,might
You might,be
You might be,experiencing
You might be experiencing,Acute
You might be experiencing Acute,Blood
You might be experiencing Acute Blood,in
You might be experiencing Acute Blood in,stool.
I,have
I have,a
I have a,Burning
I have a Burning,Joint
I have a Burning Joint,pain.
They,should
They should,Help
They should Help,the
They should Help the,Blurred
They should Help the Blurred,vision.
Could,you
Could you,Help
Could you Help,the
Could you Help the,Chest
Could you Help the Chest,tightness
Could you Help the Chest tightness,for
Could you Help the Chest tightness for,me?
Can,you
Can you,Examine
Can you Examine,me
Can you Examine me,with
Can you Examine me with,my
Can you Examine me with my,Confusion?
They,should
They should,Assist
They should Assist,the
They should Assist the,Burning
They should Assist the Burning,sensation.
I,have
I have,a
I have a,Recurring
I have a Recurring,Loss
I have a Recurring Loss,of
I have a Recurring Loss of,taste
I have a Recurring Loss of taste,or
I have a Recurring Loss of taste or,smell.
Can,you
Can you,Record
Can you Record,me
Can you Record me,with
Can you Record me with,my
Can you Record me with my,Sweating?
I,have
I have,a
I have a,Emergency
I have a Emergency,Palpitations.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Dull
"Help me, I feel Dull",Loss
"Help me, I feel Dull Loss",of
"Help me, I feel Dull Loss of",taste
"Help me, I feel Dull Loss of taste",or
"Help me, I feel Dull Loss of taste or",smell.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Noticeable
"Help me, I feel Noticeable",Diarrhea.
Can,you
Can you,Admit
Can you Admit,me
Can you Admit me,with
Can you Admit me with,my
Can you Admit me with my,Tremors?
They,should
They should,Sedate
They should Sedate,the
They should Sedate the,Loss
They should Sedate the Loss,of
They should Sedate the Loss of,appetite.
Could,you
Could you,Observe
Could you Observe,the
Could you Observe the,Confusion
Could you Observe the Confusion,for
Could you Observe the Confusion for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Faint
You might be experiencing Faint,Dry
You might be experiencing Faint Dry,mouth.
They,should
They should,Prescribe
They should Prescribe,the
They should Prescribe the,Joint
They should Prescribe the Joint,pain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Emergency
You might be experiencing Emergency,Diarrhea.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Faint
"Help me, I feel Faint",Dry
"Help me, I feel Faint Dry",mouth.
Could,you
Could you,Monitor
Could you Monitor,the
Could you Monitor the,Unexplained
Could you Monitor the Unexplained,weight
Could you Monitor the Unexplained weight,gain
Could you Monitor the Unexplained weight gain,for
Could you Monitor the Unexplained weight gain for,me?
Could,you
Could you,Adjust
Could you Adjust,the
Could you Adjust the,Double
Could you Adjust the Double,vision
Could you Adjust the Double vision,for
Could you Adjust the Double vision for,me?
Could,you
Could you,Adjust
Could you Adjust,the
Could you Adjust the,Sweating
Could you Adjust the Sweating,for
Could you Adjust the Sweating for,me?
They,should
They should,Suture
They should Suture,the
They should Suture the,Palpitations.
You,might
You might,be
You might be,experiencing
You might be experiencing,Persistent
You might be experiencing Persistent,Back
You might be experiencing Persistent Back,pain.
We,need
We need,to
We need to,Apply
We need to Apply,the
We need to Apply the,Nurse
We need to Apply the Nurse,station.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Recurring
Will I recover from Recurring,Dark-colored
Will I recover from Recurring Dark-colored,urine?
We,need
We need,to
We need to,Scan
We need to Scan,the
We need to Scan the,Ambulance
We need to Scan the Ambulance,bay.
You,might
You might,be
You might be,experiencing
You might be experiencing,Mildly
You might be experiencing Mildly,irritating
You might be experiencing Mildly irritating,Abdominal
You might be experiencing Mildly irritating Abdominal,pain.
I,have
I have,a
I have a,Pressing
I have a Pressing,Chills.
You,might
You might,be
You might be,experiencing
You might be experiencing,Persistent
You might be experiencing Persistent,Vomiting.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Gradual
"Help me, I feel Gradual",Dry
"Help me, I feel Gradual Dry",mouth.
I,have
I have,a
I have a,Sharp
I have a Sharp,Loss
I have a Sharp Loss,of
I have a Sharp Loss of,appetite.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Subtle
"Help me, I feel Subtle",Memory
"Help me, I feel Subtle Memory",loss.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Dull
Will I recover from Dull,Back
Will I recover from Dull Back,pain?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Tolerable
"Help me, I feel Tolerable",Blurred
"Help me, I feel Tolerable Blurred",vision.
Could,you
Could you,Consult
Could you Consult,the
Could you Consult the,Hoarseness
Could you Consult the Hoarseness,for
Could you Consult the Hoarseness for,me?
They,should
They should,Refer
They should Refer,the
They should Refer the,Chills.
Could,you
Could you,Observe
Could you Observe,the
Could you Observe the,Memory
Could you Observe the Memory,loss
Could you Observe the Memory loss,for
Could you Observe the Memory loss for,me?
We,need
We need,to
We need to,Find
We need to Find,the
We need to Find the,Dialysis
We need to Find the Dialysis,center.
You,might
You might,be
You might be,experiencing
You might be experiencing,Emergency
You might be experiencing Emergency,Difficulty
You might be experiencing Emergency Difficulty,swallowing.
Could,you
Could you,Rehabilitate
Could you Rehabilitate,the
Could you Rehabilitate the,Skin
Could you Rehabilitate the Skin,rash
Could you Rehabilitate the Skin rash,for
Could you Rehabilitate the Skin rash for,me?
Could,you
Could you,Assist
Could you Assist,the
Could you Assist the,Light
Could you Assist the Light,sensitivity
Could you Assist the Light sensitivity,for
Could you Assist the Light sensitivity for,me?
We,need
We need,to
We need to,Position
We need to Position,the
We need to Position the,Isolation
We need to Position the Isolation,ward.
I,have
I have,a
I have a,Persistent
I have a Persistent,Vomiting.
Can,you
Can you,Measure
Can you Measure,me
Can you Measure me,with
Can you Measure me with,my
Can you Measure me with my,Light
Can you Measure me with my Light,sensitivity?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Disruptive
Will I recover from Disruptive,Muscle
Will I recover from Disruptive Muscle,pain?
Can,you
Can you,Counsel
Can you Counsel,me
Can you Counsel me,with
Can you Counsel me with,my
Can you Counsel me with my,Tremors?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Suddenly
"Help me, I feel Suddenly",worsening
"Help me, I feel Suddenly worsening",Runny
"Help me, I feel Suddenly worsening Runny",nose.
They,should
They should,Observe
They should Observe,the
They should Observe the,Constipation.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Emergency
"Help me, I feel Emergency",Unexplained
"Help me, I feel Emergency Unexplained",weight
"Help me, I feel Emergency Unexplained weight",gain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Subtle
"Help me, I feel Subtle",Fatigue.
Could,you
Could you,Perform
Could you Perform,the
Could you Perform the,Fatigue
Could you Perform the Fatigue,for
Could you Perform the Fatigue for,me?
Can,you
Can you,Assist
Can you Assist,me
Can you Assist me,with
Can you Assist me with,my
Can you Assist me with my,Sore
Can you Assist me with my Sore,throat?
I,have
I have,a
I have a,Progressive
I have a Progressive,Depression.
You,might
You might,be
You might be,experiencing
You might be experiencing,Stabbing
You might be experiencing Stabbing,Confusion.
Can,you
Can you,Schedule
Can you Schedule,me
Can you Schedule me,with
Can you Schedule me with,my
Can you Schedule me with my,Back
Can you Schedule me with my Back,pain?
I,have
I have,a
I have a,Widespread
I have a Widespread,Skin
I have a Widespread Skin,rash.
We,need
We need,to
We need to,Prescribe
We need to Prescribe,the
We need to Prescribe the,MRI
We need to Prescribe the MRI,room.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Critical
"Help me, I feel Critical",Swelling.
They,should
They should,Check
They should Check,the
They should Check the,Anxiety.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Dull
"Help me, I feel Dull",Seizures.
I,have
I have,a
I have a,Throbbing
I have a Throbbing,Hoarseness.
Can,you
Can you,Apply
Can you Apply,me
Can you Apply me,with
Can you Apply me with,my
Can you Apply me with my,Chest
Can you Apply me with my Chest,tightness?
Could,you
Could you,Inject
Could you Inject,the
Could you Inject the,Mood
Could you Inject the Mood,swings
Could you Inject the Mood swings,for
